"","Tissue_Number","K01046_lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]"
"1",1,750.75
"2",2,1164.5
"3",3,960
"4",4,1035.5
"5",5,1334.75
"6",6,1293.8
"7",7,850.583333333333
"8",8,736.583333333333
"9",9,738
"10",10,531.833333333333
"11",11,434.583333333333
"12",12,501.75
"13",13,343.916666666667
"14",14,565.25
"15",15,611.916666666667
"16",16,1422
"17",17,416
