Tissue_Number,x,y,z,radius,K06994_K06994; putative drug exporter of the RND superfamily
1,145,130,0,50,62.8
2,145,250,0,50,86.2
3,145,370,0,50,64.2
4,145,490,0,50,42.4
5,145,610,0,50,74.8
6,160,730,0,50,103.4
7,155,850,0,50,48.75
8,150,970,0,50,147.25
9,160,1090,0,50,82.25
10,165,1210,0,50,61.4
11,190,1330,0,50,79
12,205,1450,0,50,90.75
13,220,1570,0,50,50.25
14,240,1690,0,50,39.75
15,250,1810,0,50,81.5
