"","Tissue_Number","K06994_K06994; putative drug exporter of the RND superfamily"
"1",1,392.833333333333
"2",2,770.166666666667
"3",3,900.666666666667
"4",4,797.333333333333
"5",5,765.166666666667
"6",6,1249.2
"7",7,1016.66666666667
"8",8,831.333333333333
"9",9,1270.66666666667
"10",10,565.5
"11",11,645.666666666667
"12",12,515
"13",13,912.166666666667
"14",14,1499.16666666667
"15",15,1634.16666666667
"16",16,1298
"17",17,82
