"","Tissue_Number","K10254_ohyA, sph; oleate hydratase [EC:4.2.1.53]"
"1",1,3619.86333333333
"2",2,4431.46166666667
"3",3,4520.30833333333
"4",4,4325.42833333333
"5",5,4410.89
"6",6,5484.936
"7",7,4116.47333333333
"8",8,3783.04
"9",9,3901.58666666667
"10",10,2464.015
"11",11,2364.805
"12",12,2205.96166666667
"13",13,2496.61166666667
"14",14,3800.88333333333
"15",15,4202.685
"16",16,5800.67666666667
"17",17,1014.09
