"","id","metabolite","sample","logInt","age","genotype"
"1","pos_949","C20 hydroxy fatty acid","CC_AV555",6.95776999589871,"20wk","tg/tg"
"2","pos_949","C20 hydroxy fatty acid","CC_AV572",1.85821555874379,"20wk","fl/fl"
"3","pos_949","C20 hydroxy fatty acid","CC_AV580",0.277308508681048,"12wk","fl/fl"
"4","pos_949","C20 hydroxy fatty acid","CC_AV586",1.78230197279438,"20wk","fl/fl"
"5","pos_949","C20 hydroxy fatty acid","CC_AV589",2.49377486479253,"20wk","fl/fl"
"6","pos_949","C20 hydroxy fatty acid","CC_AV590",0.955168650674696,"20wk","fl/fl"
"7","pos_949","C20 hydroxy fatty acid","CC_AV591",-0.204869217983415,"20wk","fl/fl"
"8","pos_949","C20 hydroxy fatty acid","CC_AV598",2.18723636704512,"20wk","fl/fl"
"9","pos_949","C20 hydroxy fatty acid","CC_AV604",7.39124711987869,"12wk","tg/tg"
"10","pos_949","C20 hydroxy fatty acid","CC_AV608",2.02941771585682,"12wk","fl/fl"
"11","pos_949","C20 hydroxy fatty acid","CC_AV609",1.89793973838266,"12wk","fl/fl"
"12","pos_949","C20 hydroxy fatty acid","CC_AV610",0.491343521692026,"12wk","fl/fl"
"13","pos_949","C20 hydroxy fatty acid","CC_AV611",1.89915566620989,"12wk","fl/fl"
"14","pos_949","C20 hydroxy fatty acid","CC_AV612",6.70428701238292,"20wk","tg/tg"
"15","pos_949","C20 hydroxy fatty acid","CC_AV650",7.25209085196395,"20wk","tg/tg"
"16","pos_949","C20 hydroxy fatty acid","CC_AV717",7.74730839346324,"20wk","tg/tg"
"17","pos_949","C20 hydroxy fatty acid","CC_AV718",7.03361457707633,"20wk","tg/tg"
"18","pos_949","C20 hydroxy fatty acid","CC_AV770",6.08562977193767,"12wk","tg/tg"
"19","pos_949","C20 hydroxy fatty acid","CC_AV782",5.34832540178138,"12wk","tg/tg"
"20","pos_949","C20 hydroxy fatty acid","CC_AV791",6.9488996324138,"12wk","tg/tg"
"21","pos_949","C20 hydroxy fatty acid","CC_AV794",6.23627389496835,"12wk","tg/tg"
"22","pos_949","C20 hydroxy fatty acid","CC_AV802",1.59722218537811,"12wk","fl/fl"
"23","pos_949","C20 hydroxy fatty acid","CC_AV816",0.983904697508401,"5wk","fl/fl"
"24","pos_949","C20 hydroxy fatty acid","CC_AV817",5.51385082684494,"5wk","tg/tg"
"25","pos_949","C20 hydroxy fatty acid","CC_AV833",5.2684329014923,"12wk","tg/tg"
"26","pos_949","C20 hydroxy fatty acid","CC_AV863",2.05639382255919,"5wk","fl/fl"
"27","pos_949","C20 hydroxy fatty acid","CC_AV864",2.41398366337627,"5wk","fl/fl"
"28","pos_949","C20 hydroxy fatty acid","CC_AV865",2.54619142762643,"5wk","fl/fl"
"29","pos_949","C20 hydroxy fatty acid","CC_AV866",3.20904280933545,"5wk","fl/fl"
"30","pos_949","C20 hydroxy fatty acid","CC_AV967",6.83162015312756,"5wk","tg/tg"
"31","pos_949","C20 hydroxy fatty acid","CC_AV968",6.98646709716394,"5wk","tg/tg"
"32","pos_949","C20 hydroxy fatty acid","CC_AV971",7.46530277447446,"5wk","tg/tg"
"33","pos_949","C20 hydroxy fatty acid","CC_AV972",6.92848176544272,"5wk","tg/tg"
"34","pos_949","C20 hydroxy fatty acid","CC_AV974",6.64327276079309,"5wk","tg/tg"
"35","pos_949","C20 hydroxy fatty acid","CC_AV996",5.31828691092123,"5wk","tg/tg"
"36","neg_382","FA 20:3","CC_AV555",10.5921333458097,"20wk","tg/tg"
"37","neg_382","FA 20:3","CC_AV572",5.47650513199624,"20wk","fl/fl"
"38","neg_382","FA 20:3","CC_AV580",5.48590495248906,"12wk","fl/fl"
"39","neg_382","FA 20:3","CC_AV586",7.24177825753165,"20wk","fl/fl"
"40","neg_382","FA 20:3","CC_AV589",6.25376032427054,"20wk","fl/fl"
"41","neg_382","FA 20:3","CC_AV590",5.82056323286007,"20wk","fl/fl"
"42","neg_382","FA 20:3","CC_AV591",6.80114662195188,"20wk","fl/fl"
"43","neg_382","FA 20:3","CC_AV598",7.18475037349069,"20wk","fl/fl"
"44","neg_382","FA 20:3","CC_AV604",9.73723686543332,"12wk","tg/tg"
"45","neg_382","FA 20:3","CC_AV608",7.11810441910191,"12wk","fl/fl"
"46","neg_382","FA 20:3","CC_AV609",6.36484781959435,"12wk","fl/fl"
"47","neg_382","FA 20:3","CC_AV610",4.92594884602499,"12wk","fl/fl"
"48","neg_382","FA 20:3","CC_AV611",6.00550346454886,"12wk","fl/fl"
"49","neg_382","FA 20:3","CC_AV612",10.1462082330892,"20wk","tg/tg"
"50","neg_382","FA 20:3","CC_AV650",8.06432766294537,"20wk","tg/tg"
"51","neg_382","FA 20:3","CC_AV717",9.05372348918117,"20wk","tg/tg"
"52","neg_382","FA 20:3","CC_AV718",8.34612141255032,"20wk","tg/tg"
"53","neg_382","FA 20:3","CC_AV770",7.0792953347666,"12wk","tg/tg"
"54","neg_382","FA 20:3","CC_AV782",7.18285053884188,"12wk","tg/tg"
"55","neg_382","FA 20:3","CC_AV791",8.39971690495391,"12wk","tg/tg"
"56","neg_382","FA 20:3","CC_AV794",8.66696972047333,"12wk","tg/tg"
"57","neg_382","FA 20:3","CC_AV802",6.64309958069807,"12wk","fl/fl"
"58","neg_382","FA 20:3","CC_AV816",6.69808273117913,"5wk","fl/fl"
"59","neg_382","FA 20:3","CC_AV817",8.18880776755377,"5wk","tg/tg"
"60","neg_382","FA 20:3","CC_AV833",7.06520746298577,"12wk","tg/tg"
"61","neg_382","FA 20:3","CC_AV863",5.81501005710347,"5wk","fl/fl"
"62","neg_382","FA 20:3","CC_AV864",7.49458637211016,"5wk","fl/fl"
"63","neg_382","FA 20:3","CC_AV865",7.8751875854136,"5wk","fl/fl"
"64","neg_382","FA 20:3","CC_AV866",6.49359216473861,"5wk","fl/fl"
"65","neg_382","FA 20:3","CC_AV967",8.79470544828048,"5wk","tg/tg"
"66","neg_382","FA 20:3","CC_AV968",6.46582490451851,"5wk","tg/tg"
"67","neg_382","FA 20:3","CC_AV971",7.2946459014289,"5wk","tg/tg"
"68","neg_382","FA 20:3","CC_AV972",7.41450751044557,"5wk","tg/tg"
"69","neg_382","FA 20:3","CC_AV974",7.49158931335305,"5wk","tg/tg"
"70","neg_382","FA 20:3","CC_AV996",7.04090944968135,"5wk","tg/tg"
"71","neg_461","FA 22:6_1","CC_AV555",13.2173948826133,"20wk","tg/tg"
"72","neg_461","FA 22:6_1","CC_AV572",8.50430931000987,"20wk","fl/fl"
"73","neg_461","FA 22:6_1","CC_AV580",7.85833572640894,"12wk","fl/fl"
"74","neg_461","FA 22:6_1","CC_AV586",9.1482134330151,"20wk","fl/fl"
"75","neg_461","FA 22:6_1","CC_AV589",8.12025259458112,"20wk","fl/fl"
"76","neg_461","FA 22:6_1","CC_AV590",7.05686851431608,"20wk","fl/fl"
"77","neg_461","FA 22:6_1","CC_AV591",7.96445236446243,"20wk","fl/fl"
"78","neg_461","FA 22:6_1","CC_AV598",10.6566975109985,"20wk","fl/fl"
"79","neg_461","FA 22:6_1","CC_AV604",12.4940508065818,"12wk","tg/tg"
"80","neg_461","FA 22:6_1","CC_AV608",9.98850436116217,"12wk","fl/fl"
"81","neg_461","FA 22:6_1","CC_AV609",8.7010630471812,"12wk","fl/fl"
"82","neg_461","FA 22:6_1","CC_AV610",6.93815609132454,"12wk","fl/fl"
"83","neg_461","FA 22:6_1","CC_AV611",7.92853228778574,"12wk","fl/fl"
