Tissue_Number,x,y,z,radius,"K10254_ohyA, sph; oleate hydratase [EC:4.2.1.53]"
1,145,130,0,50,2992.818
2,145,250,0,50,3350.948
3,145,370,0,50,3172.904
4,145,490,0,50,2493.228
5,145,610,0,50,2595.904
6,160,730,0,50,1940.68
7,155,850,0,50,1660.6075
8,150,970,0,50,1711.2775
9,160,1090,0,50,1249.065
10,165,1210,0,50,1046.018
11,190,1330,0,50,1396.6575
12,205,1450,0,50,1526.9075
13,220,1570,0,50,961.665
14,240,1690,0,50,862.835
15,250,1810,0,50,1131.435
