"","CC_AV521","CC_AV527","CC_AV541","CC_AV542","CC_AV543","CC_AV555","CC_AV567","CC_AV570","CC_AV571","CC_AV572","CC_AV579","CC_AV580","CC_AV583","CC_AV584","CC_AV586","CC_AV587","CC_AV588","CC_AV589","CC_AV590","CC_AV591","CC_AV596","CC_AV597","CC_AV598","CC_AV604","CC_AV608","CC_AV609","CC_AV610","CC_AV611","CC_AV612","CC_AV650","CC_AV717","CC_AV718","CC_AV770","CC_AV782","CC_AV791","CC_AV794","CC_AV802","CC_AV803","CC_AV814","CC_AV816","CC_AV817","CC_AV833","CC_AV863","CC_AV864","CC_AV865","CC_AV866","CC_AV967","CC_AV968","CC_AV971","CC_AV972","CC_AV974","CC_AV996"
"pos_0",0.595554453286781,0.659854049416565,0.325059656575142,0.31992475362772,2.21410853600806,2.00770949107003,-0.0343795842526951,-0.0128514444243316,-0.0213000123044352,1.35999634596297,0.630449411359825,0.68084722205884,0.959543299628611,0.148549651777106,-1.19044924273072,0.822559715267433,-0.0887652271666125,-0.968769907176107,0.861074473620504,-0.0076936672973622,-1.21633439118032,-0.962212592320673,-0.0817236662499932,0.293880844320512,0.532504831767869,0.410858442637078,0.227112797719741,0.385559251387033,1.62191767422684,0.088729109056479,1.1492039316124,1.82300495652649,0.679401114683774,0.521541997313743,1.53661680929831,1.58477866820585,-0.183450639989,0.544225508017686,1.01991924980047,0.0762997822587276,1.79489430989774,0.514501681896033,1.10565571764517,1.51345844072247,-0.967724185369496,0.449140989870138,-0.200254577656881,1.11090238063171,0.897086399427672,0.374659700588226,0.151640085721447,0.75282680812653
"pos_1",0.863642040735598,-0.837735578120737,0.255047394923142,1.18319870420587,0.526687843561068,1.05585668049218,-0.453330245671355,-0.028238398762551,0.758698110130838,-0.0246941050713388,0.156938517014851,-1.13577368212183,0.028907018464255,0.795964719528399,-1.13029020019961,-1.0108361768942,-2.48818274360424,-0.559776809588069,0.596317327260233,0.335750812262729,-0.549367439227687,0.684284383474701,-0.445062577361887,-0.112511710760265,-1.77666452479007,-0.267343873034419,-0.409245495830524,-0.457108999913791,0.658595256744401,0.949749169860942,-0.294428619869835,0.041816569388935,-0.799607469776295,0.887541169167661,-0.518368392282586,0.528519073379469,-0.131062561234226,0.817641572273741,-0.927413593877931,-1.03987127340201,0.583074984819989,-0.565340372376837,0.732794721588407,0.636548535644315,-1.39387596046731,-0.715020453558692,-0.123996676018618,0.718991341198693,-1.47776377416319,-0.353937857261103,-1.17304527025169,-0.0363214937707101
"pos_3",-2.4469788043639,-0.686770260671223,0.168238619946847,0.440418312811632,0.134951610105693,1.06677968212233,-0.742647177040916,-0.0360998886730904,0.00738771931275059,0.319115221652178,-0.329487854786867,-0.314698918509111,0.292399700447039,0.0526697541666709,0.180729515253803,-0.367478808479905,2.98761826112298,-0.927737902756425,0.0578994509815341,0.415565879856369,-0.987547868034966,0.32000872626092,-0.915683042243404,-0.668671496262193,-1.26233432873652,-0.372227398435425,-0.051555696266978,-1.04639238293425,0.116483193870144,0.151252797106013,-0.0899541902592498,-0.307989293825002,-0.527760988251586,0.846514664933122,0.279499050419845,0.502883565177024,-0.293506323386653,0.529136180260851,-0.573147740523553,-1.73330684533066,-0.241427499273635,0.141186143353572,0.391275427362613,0.0172874307054589,-0.792341589013053,-0.0613570556366583,0.86440007257399,0.0854875069107153,-0.73054101994081,0.993674399452709,-0.250396364591261,-0.265588499465851
"pos_4",-2.21738827636109,-0.532557385378422,0.060381483334202,1.46356781881732,0.786702707026287,1.2331389517351,0.117929117889231,0.159525872179698,0.770652846371701,-0.218904870531246,0.894315219488449,-0.780944194078716,0.787844776868631,1.5363572608357,-0.784502235412287,-0.267093001795154,0.11306379833006,-0.758699527284504,1.27442330378019,0.889980280373256,-0.191942410514804,0.213085366635297,-1.15279330512263,0.0919921437802452,-2.26796451481861,0.140216980485264,-0.9919398804422,-2.14126213750146,0.0322686484877965,1.49955331278337,0.399517888647952,-0.816769317683127,-0.088797146975197,1.0549815059246,-0.354930114587854,0.272789596746074,0.490267590128506,0.970200917367297,-0.441076408576066,-2.61404056270495,-0.0286294068001121,-1.48773785271826,1.18125622886984,0.577345084029128,-0.318321287093309,-0.32734695103208,0.478051216478466,0.873508008042931,-1.95343448240645,0.812299337899819,-0.927324566618966,0.116641332732165
"pos_6",-1.66663254121944,-1.18786085316671,-2.00561561186465,-0.58668931247473,-0.588338361959239,-0.114170837041076,-0.176249832742386,-0.881373932257969,0.747235412159839,-0.294925109688037,0.073114082549122,-0.314644564378934,-0.0479465914418683,0.91911025745682,-0.0737670594541701,0.0355978481466581,0.576847601329028,0.00432055992268231,-1.16876003258138,-1.24808157570428,0.00778041267927469,1.50797814966455,-1.3426312523181,0.796981411603385,-2.66098169029594,0.05014643303781,-0.654195107001257,-1.09946166335029,0.242889029747686,1.97516292725564,0.904076135213219,-1.35045705317056,-0.80308401423424,1.44381911808971,0.607037411143126,1.01190447972756,-0.570146284943082,-0.753715744651243,-0.792407025585505,-2.44287910401521,1.04175586461085,0.0275023471465002,-1.1823026881388,-0.497850174520368,-0.950233413137013,-1.07801338324971,0.4353493679132,0.00551067016908675,0.842848100864866,2.26530490750367,0.203284330028926,0.166790603306851
"pos_7",-0.393914756745813,-0.862157998098363,-1.5838165802402,-0.252205548798661,0.00918491295630023,0.822511135557561,-0.498185980890803,-0.15281563356566,-0.908552572943696,-0.640187123832158,0.222761424602626,-0.241774176320373,1.4331732215737,0.544382455145674,-0.388057898967508,-0.459265281597492,-0.658605150846599,-0.930050411315818,-0.412062469550401,-0.355688123891477,-0.234771924113526,-0.336827661213712,-0.732597514693687,-0.423822267605654,1.77018650055052,-0.226307964040146,-1.38985594165999,1.51542382932947,0.0489036018278073,0.831594937567617,0.355786108483151,-0.308522749453499,-0.663307009237176,0.232118215055317,-1.25409102224851,-1.30047439999345,-0.304784411679259,-1.21801930365188,-0.545937945103769,-1.41026069675764,-0.176555983295931,-0.46161316479545,-0.824968433328707,0.0344249227520308,-0.456127375118859,-0.678867051826425,0.103821654678246,-0.498567824321684,-0.706593785193021,0.0716260054899096,-0.36190607373625,-0.456123459464268
"pos_8",0.452613869580613,-0.592557686870977,-1.81706648374603,-0.756810639470127,-0.451981746314844,-0.0107012116330749,-0.0458813459823348,-1.21652457878084,-1.61529319749841,-0.301483696085487,-0.0315667060292351,-0.214352385020291,0.525734062017547,1.25646870857873,-0.480467056415227,-0.595116298337192,0.0446810568159809,-1.00156962645384,-0.623205055892271,-0.579143159647069,-0.38516336047209,-0.964626978440421,-0.939172267076377,-0.0703951836424803,2.64638169018375,-0.203969792718059,-1.20411599477856,1.31630199191409,-0.341017541716963,0.97621586010713,0.456310635611698,-1.06241784169883,-0.0449159257429515,-0.202961210563827,-1.16682829515199,-1.31845804865102,0.0450268199413429,-0.190986179848199,-0.551600881881798,-0.971016755939035,-0.92394437004671,0.579734553788099,-0.999239622097761,0.619965309345906,-0.198130865731692,-0.653552712456707,-0.00456675608315683,-1.12176240511517,-1.06116482258616,0.587122485802441,-0.442867881256653,0.261953610795326
"pos_9",-2.21562079341129,-0.301264771751231,-1.80265318396399,0.0972252336272887,0.131918166646037,0.941111996885443,-0.736082804048004,-0.412400546978716,-0.452299359328879,0.168213188199725,0.633654371257728,-0.362525381802988,-0.551659076882695,1.49283663369905,-0.361605037261523,-0.482226040730766,-1.37215686398153,-0.476323520337129,-0.331616463320312,0.02446448139899,-0.382125543245583,-1.02606605337611,-0.531303174690443,-0.207372406835161,0.561879461829677,-1.17121004596873,-0.179874575182042,-0.471609618650695,-0.527383283743395,2.02201967159448,0.976695717883617,-0.0873638603771322,-0.690501759057543,0.489312264493413,-0.656012395934755,-0.991908949587903,1.14348481710976,0.101916266769955,-1.35978419305355,-0.958143630827192,-0.131134056569465,0.297099813841198,-0.584680214393284,1.00660238543477,-1.18385978550239,-0.38321509068498,0.244930085148028,-0.24962350113922,-1.46171206830524,1.92568758133603,-1.59991663444999,-0.262947415797506
"pos_13",1.67972417205909,-1.49293332575478,-1.64855033429496,-0.0295255332757628,-1.70088778147713,-0.389728798764814,-0.0792623265129995,-0.431122311350817,-0.202529961804965,-0.914885910349993,0.258631426328514,-1.20503826851435,-0.0126869740132866,-0.240194839904687,-1.00429301020255,-0.868404662310025,-0.110383761125978,-0.984309804904795,0.620847844647076,0.00209383843430869,-1.72340594449907,-0.72175397011874,-1.6288330311688,-0.38256883826657,1.80488790353218,-0.0138463501250941,-0.353932099426696,-0.810408190544876,-0.899625868433223,0.727640225115658,-1.79828646326823,2.06537643151253,-0.219831547053558,1.10741617954093,-1.34215132550291,-1.244764802969,-0.383340141642317,0.432707481400054,-0.290734371282316,-0.248624244822098,0.822406824702731,-1.02760067324346,0.738800652821464,0.535475487051239,0.0126665337940433,-0.731265452474971,-0.76307142665688,0.445304228883126,-1.34209356193968,0.452905620996417,-0.605784022327476,-1.30897944958664
"pos_14",-0.486605911138602,-1.60059983595625,-1.81699777858166,-0.920028891722105,-1.92634746626046,-0.181836118686677,-0.976134533483422,-1.6149621622263,-0.255121816184121,-1.23976076319399,-1.06127983399312,-1.45066690823839,-0.902606952461135,0.0335344754622755,-0.143994842563108,-1.4011473460065,-0.56059277877691,-0.497504509396771,-1.59197941132889,-1.02428422875979,-0.775810978756805,0.506810277661698,-0.841550029682958,0.818875164379802,-1.31285262114333,-0.875167351523862,-1.02084685472943,-0.91528192158619,-0.665370789692111,0.335236539854101,0.666112832156522,-0.152563990162589,-0.794907754714948,-0.644544474083698,-0.806926274472215,-0.00187782922135003,-0.880473966466873,-0.768770229658216,-0.865347725224817,-0.943126906385969,-0.637828926197809,-1.42591347941535,-1.0678665199215,-1.14654538289039,-1.38628350310718,-1.43475879793333,0.129223374541147,0.227893989597651,-0.111895796822257,-0.130117308609579,-0.0710620695392867,-0.582057197327176
