"","OTU","Sample","Abundance","original_sample_id","Age","Genotype","Phenotype","Genotype_Age","Age_Phenotype","Tumor_No","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"284","Zotu35; GOTU2839","D29627_15-AV972",0.129012901290129,"15-AV972","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.602051975,23.72038557,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2839","Zotu35","Zotu35; GOTU2839"
"285","Zotu14; LachnospiraceaeNK4A136group","D29621_09-AV791",0.128760891025366,"09-AV791","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"286","Zotu104; GOTU1392","D29622_10-AV794",0.128491885975349,"10-AV794","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1392","Zotu104","Zotu104; GOTU1392"
"287","Zotu12; Bacteroides","D29628_16-AV974",0.125790119186138,"16-AV974","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.992074477,23.4479337,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"288","Zotu14; LachnospiraceaeNK4A136group","D29624_12-AV967",0.125628140703518,"12-AV967","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.120869837,23.50217257,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"289","Zotu53; LachnospiraceaeNK4A136group","D29654_42-AV814",0.123715264560335,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"290","Zotu47; GOTU208","D29652_40-AV579",0.123273382431963,"40-AV579","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GOTU208","Zotu47","Zotu47; GOTU208"
"291","Zotu14; LachnospiraceaeNK4A136group","D29662_50-AV817",0.122679963591753,"50-AV817","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.425372628,25.42287977,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"292","Zotu81; Muribaculum","D29664_52-AV864",0.122668245844084,"52-AV864","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu81","Zotu81; Muribaculum"
"293","Zotu53; LachnospiraceaeNK4A136group","D29628_16-AV974",0.122645366206484,"16-AV974","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.992074477,23.4479337,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"294","Zotu59; Muribaculum","D29638_26-AV608",0.12238352464551,"26-AV608","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"295","Zotu135; GOTU2838","D29666_54-AV866",0.122260064623177,"54-AV866","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2838","Zotu135","Zotu135; GOTU2838"
"296","Zotu180; Oscillibacter","D29666_54-AV866",0.122260064623177,"54-AV866","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Zotu180","Zotu180; Oscillibacter"
"297","Zotu18; Parasutterella","D29640_28-AV610",0.121649876449344,"28-AV610","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"298","Zotu35; GOTU2839","D29661_49-AV816",0.121542330259849,"49-AV816","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2839","Zotu35","Zotu35; GOTU2839"
"299","Zotu401; RikenellaceaeRC9gutgroup","D29661_49-AV816",0.121542330259849,"49-AV816","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","RikenellaceaeRC9gutgroup","Zotu401","Zotu401; RikenellaceaeRC9gutgroup"
"300","Zotu18; Parasutterella","D29624_12-AV967",0.121296135851672,"12-AV967","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.120869837,23.50217257,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"301","Zotu53; LachnospiraceaeNK4A136group","D29649_37-AV568",0.119981541301338,"37-AV568","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"302","Zotu47; GOTU208","D29656_44-AV584",0.11937409259558,"44-AV584","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.776092338,20.60213894,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GOTU208","Zotu47","Zotu47; GOTU208"
"303","Zotu259; Parasutterella","D29657_45-AV587",0.118648799553322,"45-AV587","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.405586854,17.93520366,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu259","Zotu259; Parasutterella"
"304","Zotu53; LachnospiraceaeNK4A136group","D29642_30-AV802",0.118556992039745,"30-AV802","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"305","Zotu104; GOTU1392","D29650_38-AV570",0.117937773784118,"38-AV570","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1392","Zotu104","Zotu104; GOTU1392"
"306","Zotu132; Tuzzerella","D29655_43-AV583",0.1161777519605,"43-AV583","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.178077903,23.61102698,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella","Zotu132","Zotu132; Tuzzerella"
"307","Zotu18; Parasutterella","D29632_20-AV580",0.116046676552124,"20-AV580","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"308","Zotu59; Muribaculum","D29659_47-AV596",0.116014457186203,"47-AV596","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"309","Zotu160; Desulfovibrio","D29653_41-AV803",0.114686635633812,"41-AV803","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Zotu160","Zotu160; Desulfovibrio"
"310","Zotu59; Muribaculum","D29629_17-AV996",0.114627778131567,"17-AV996","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"311","Zotu53; LachnospiraceaeNK4A136group","D29622_10-AV794",0.114215009755865,"10-AV794","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"312","Zotu53; LachnospiraceaeNK4A136group","D29614_02-AV604",0.113398985377499,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"313","Zotu14; LachnospiraceaeNK4A136group","D29661_49-AV816",0.113160100586756,"49-AV816","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"314","Zotu23; LachnospiraceaeNK4A136group","D29641_29-AV611",0.112733216842343,"29-AV611","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"315","Zotu135; GOTU2838","D29650_38-AV570",0.112321689318207,"38-AV570","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2838","Zotu135","Zotu135; GOTU2838"
"316","Zotu59; Muribaculum","D29648_36-AV567",0.111705841284617,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"317","Zotu53; LachnospiraceaeNK4A136group","D29621_09-AV791",0.111592772221984,"09-AV791","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"318","Zotu53; LachnospiraceaeNK4A136group","D29663_51-AV863",0.111006043662377,"51-AV863","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"319","Zotu104; GOTU1392","D29660_48-AV597",0.110502121640736,"48-AV597","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1392","Zotu104","Zotu104; GOTU1392"
"320","Zotu59; Muribaculum","D29632_20-AV580",0.109599638965895,"20-AV580","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"321","Zotu401; RikenellaceaeRC9gutgroup","D29658_46-AV588",0.109570279061804,"46-AV588","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.744206198,20.93805541,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","RikenellaceaeRC9gutgroup","Zotu401","Zotu401; RikenellaceaeRC9gutgroup"
"322","Zotu111; Parabacteroides","D29653_41-AV803",0.10794036294947,"41-AV803","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Zotu111","Zotu111; Parabacteroides"
"323","Zotu53; LachnospiraceaeNK4A136group","D29653_41-AV803",0.10794036294947,"41-AV803","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"324","Zotu82; LachnospiraceaeNK4A136group","D29653_41-AV803",0.10794036294947,"41-AV803","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu82","Zotu82; LachnospiraceaeNK4A136group"
"325","Zotu111; Parabacteroides","D29654_42-AV814",0.107854333206446,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Zotu111","Zotu111; Parabacteroides"
"326","Zotu132; Tuzzerella","D29614_02-AV604",0.107430617726052,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella","Zotu132","Zotu132; Tuzzerella"
"327","Zotu59; Muribaculum","D29614_02-AV604",0.107430617726052,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"328","Zotu111; Parabacteroides","D29621_09-AV791",0.107300742521138,"09-AV791","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Zotu111","Zotu111; Parabacteroides"
"329","Zotu14; LachnospiraceaeNK4A136group","D29641_29-AV611",0.107096556000225,"29-AV611","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"330","Zotu401; RikenellaceaeRC9gutgroup","D29663_51-AV863",0.106894708711919,"51-AV863","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","RikenellaceaeRC9gutgroup","Zotu401","Zotu401; RikenellaceaeRC9gutgroup"
"331","Zotu132; Tuzzerella","D29662_50-AV817",0.106850290870236,"50-AV817","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.425372628,25.42287977,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella","Zotu132","Zotu132; Tuzzerella"
"332","Zotu132; Tuzzerella","D29625_13-AV968",0.106846739037525,"13-AV968","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.497392279,27.88444959,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella","Zotu132","Zotu132; Tuzzerella"
"333","Zotu82; LachnospiraceaeNK4A136group","D29625_13-AV968",0.106846739037525,"13-AV968","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.497392279,27.88444959,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu82","Zotu82; LachnospiraceaeNK4A136group"
"334","Zotu111; Parabacteroides","D29650_38-AV570",0.106705604852297,"38-AV570","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Zotu111","Zotu111; Parabacteroides"
"335","Zotu104; GOTU1392","D29627_15-AV972",0.105010501050105,"15-AV972","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.602051975,23.72038557,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1392","Zotu104","Zotu104; GOTU1392"
"336","Zotu53; LachnospiraceaeNK4A136group","D29661_49-AV816",0.104777870913663,"49-AV816","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"337","Zotu203; LachnospiraceaeNK4A136group","D29654_42-AV814",0.104682146935668,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu203","Zotu203; LachnospiraceaeNK4A136group"
"338","Zotu53; LachnospiraceaeNK4A136group","D29656_44-AV584",0.103242458461042,"44-AV584","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.776092338,20.60213894,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"339","Zotu12; Bacteroides","D29662_50-AV817",0.102892872689857,"50-AV817","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.425372628,25.42287977,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"340","Zotu14; LachnospiraceaeNK4A136group","D29658_46-AV588",0.102722136620442,"46-AV588","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.744206198,20.93805541,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"341","Zotu82; LachnospiraceaeNK4A136group","D29648_36-AV567",0.102397021177566,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu82","Zotu82; LachnospiraceaeNK4A136group"
"342","Zotu14; LachnospiraceaeNK4A136group","D29642_30-AV802",0.10162027889121,"30-AV802","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"343","Zotu18; Parasutterella","D29641_29-AV611",0.101459895158108,"29-AV611","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"344","Zotu14; LachnospiraceaeNK4A136group","D29638_26-AV608",0.101282916948008,"26-AV608","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"345","Zotu104; GOTU1392","D29657_45-AV587",0.101200446677834,"45-AV587","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.405586854,17.93520366,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1392","Zotu104","Zotu104; GOTU1392"
"346","Zotu59; Muribaculum","D29619_07-AV770",0.0998098859315589,"07-AV770","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu59","Zotu59; Muribaculum"
"347","Zotu160; Desulfovibrio","D29621_09-AV791",0.0987166831194472,"09-AV791","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Zotu160","Zotu160; Desulfovibrio"
"348","Zotu123; LachnospiraceaeNK4A136group","D29659_47-AV596",0.0981660791575566,"47-AV596","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu123","Zotu123; LachnospiraceaeNK4A136group"
"349","Zotu104; GOTU1392","D29626_14-AV971",0.0971568827981182,"14-AV971","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,4.530663119,23.61102698,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1392","Zotu104","Zotu104; GOTU1392"
"350","Zotu86; Butyricicoccus","D29626_14-AV971",0.0971568827981182,"14-AV971","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,4.530663119,23.61102698,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"351","Zotu123; LachnospiraceaeNK4A136group","D29638_26-AV608",0.0970627954085078,"26-AV608","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu123","Zotu123; LachnospiraceaeNK4A136group"
"352","Zotu180; Oscillibacter","D29665_53-AV865",0.0967697341136353,"53-AV865","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Zotu180","Zotu180; Oscillibacter"
"353","Zotu23; LachnospiraceaeNK4A136group","D29642_30-AV802",0.0959747078416982,"30-AV802","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"354","Zotu81; Muribaculum","D29658_46-AV588",0.0958739941790789,"46-AV588","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.744206198,20.93805541,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu81","Zotu81; Muribaculum"
"355","Zotu82; LachnospiraceaeNK4A136group","D29641_29-AV611",0.0958232343159912,"29-AV611","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu82","Zotu82; LachnospiraceaeNK4A136group"
"356","Zotu47; GOTU208","D29614_02-AV604",0.0954938824231573,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GOTU208","Zotu47","Zotu47; GOTU208"
"357","Zotu160; Desulfovibrio","D29622_10-AV794",0.0951791747965545,"10-AV794","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Zotu160","Zotu160; Desulfovibrio"
"358","Zotu47; GOTU208","D29654_42-AV814",0.0951655881233346,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GOTU208","Zotu47","Zotu47; GOTU208"
"359","Zotu180; Oscillibacter","D29619_07-AV770",0.0950570342205323,"07-AV770","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Zotu180","Zotu180; Oscillibacter"
"360","Zotu14; LachnospiraceaeNK4A136group","D29623_11-AV833",0.0947667684531957,"11-AV833","12wk","tg/tg","T","12wk_tg/tg","12wk_T",5,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"361","Zotu18; Parasutterella","D29628_16-AV974",0.0943425893896035,"16-AV974","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.992074477,23.4479337,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"362","Zotu81; Muribaculum","D29657_45-AV587",0.0942211055276382,"45-AV587","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.405586854,17.93520366,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Zotu81","Zotu81; Muribaculum"
"363","Zotu14; LachnospiraceaeNK4A136group","D29648_36-AV567",0.0930882010705143,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"364","Zotu160; Desulfovibrio","D29648_36-AV567",0.0930882010705143,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Zotu160","Zotu160; Desulfovibrio"
"365","Zotu314; Parasutterella","D29648_36-AV567",0.0930882010705143,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu314","Zotu314; Parasutterella"
"366","Zotu135; GOTU2838","D29627_15-AV972",0.093009300930093,"15-AV972","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.602051975,23.72038557,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2838","Zotu135","Zotu135; GOTU2838"
"367","Zotu135; GOTU2838","D29665_53-AV865",0.0921616515367955,"53-AV865","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2838","Zotu135","Zotu135; GOTU2838"
"368","Zotu14; LachnospiraceaeNK4A136group","D29666_54-AV866",0.0916950484673828,"54-AV866","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
"369","Zotu135; GOTU2838","D29623_11-AV833",0.0912568881401144,"11-AV833","12wk","tg/tg","T","12wk_tg/tg","12wk_T",5,NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2838","Zotu135","Zotu135; GOTU2838"
"370","Zotu14; LachnospiraceaeNK4A136group","D29640_28-AV610",0.0912374073370082,"28-AV610","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu14","Zotu14; LachnospiraceaeNK4A136group"
