"","OTU","Sample","Abundance","original_sample_id","Age","Genotype","Phenotype","Genotype_Age","Age_Phenotype","Tumor_No","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"17","Zotu40; GOTU1381","D29627_15-AV972",1.37713771377138,"15-AV972","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,7.602051975,23.72038557,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"18","Zotu40; GOTU1381","D29638_26-AV608",1.36309925725861,"26-AV608","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"19","Zotu40; GOTU1381","D29620_08-AV782.2",1.32787539936102,"08-AV782.2","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"20","Zotu12; Bacteroides","D29665_53-AV865",1.25800654347726,"53-AV865","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"21","Zotu40; GOTU1381","D29614_02-AV604",1.25335720680394,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"22","Zotu23; LachnospiraceaeNK4A136group","D29662_50-AV817",1.17931061775298,"50-AV817","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.425372628,25.42287977,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"23","Zotu12; Bacteroides","D29640_28-AV610",1.17848317810302,"28-AV610","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"24","Zotu86; Butyricicoccus","D29653_41-AV803",1.15698576536464,"41-AV803","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"25","Zotu49; LachnospiraceaeNK4A136group","D29663_51-AV863",1.10594910167331,"51-AV863","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"26","Zotu40; GOTU1381","D29660_48-AV597",1.10060113154173,"48-AV597","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"27","Zotu86; Butyricicoccus","D29665_53-AV865",1.08289940555735,"53-AV865","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"28","Zotu40; GOTU1381","D29658_46-AV588",1.04091765108714,"46-AV588","5wk","tg/wt","NT","5wk_tg/wt","5wk_NT",0,2.744206198,20.93805541,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"29","Zotu86; Butyricicoccus","D29632_20-AV580",1.02185545741732,"20-AV580","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"30","Zotu12; Bacteroides","D29664_52-AV864",0.981345966752675,"52-AV864","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"31","Zotu40; GOTU1381","D29628_16-AV974",0.9119783640995,"16-AV974","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.992074477,23.4479337,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"32","Zotu704; Escherichia-Shigella","D29614_02-AV604",0.901223515368547,"02-AV604","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Zotu704","Zotu704; Escherichia-Shigella"
"33","Zotu86; Butyricicoccus","D29652_40-AV579",0.881878812782501,"40-AV579","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"34","Zotu40; GOTU1381","D29649_37-AV568",0.881402861098293,"37-AV568","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"35","Zotu86; Butyricicoccus","D29664_52-AV864",0.875597478956051,"52-AV864","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"36","Zotu40; GOTU1381","D29642_30-AV802",0.85248122847626,"30-AV802","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"37","Zotu40; GOTU1381","D29623_11-AV833",0.84939103576568,"11-AV833","12wk","tg/tg","T","12wk_tg/tg","12wk_T",5,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"38","Zotu12; Bacteroides","D29648_36-AV567",0.819176169420526,"36-AV567","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"39","Zotu40; GOTU1381","D29641_29-AV611",0.794769178738515,"29-AV611","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"40","Zotu86; Butyricicoccus","D29649_37-AV568",0.779880018458699,"37-AV568","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
