"","OTU","Sample","Abundance","mouse_id","Genotype","Age","Genotype_Age","Tissue","Phenotype","Tissue_Age","Age_Genotype","Age_Phenotype","Exact_Age","Tumor_No","Cage","Litter","Cage_Genotype","Gender","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"21","Zotu86; Butyricicoccus","D29750_83-AV814",0.893759642496143,"AV814","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12.3,0,"P","157","P_tg/wt","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"22","Zotu12; Bacteroides","D29752_85-AV865",0.890511352636964,"AV865","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"S","160","S_fl/fl","m",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"23","Zotu49; LachnospiraceaeNK4A136group","D29678_11-AV588",0.849347064444208,"AV588","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"G","140","G_tg/wt","m",2.744206198,20.93805541,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"24","Zotu12; Bacteroides","D29746_79-AV567",0.827217579434098,"AV567","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12,0,"D","138","D_tg/wt","f",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"25","Zotu18; Parasutterella","D29675_08-AV583",0.764852365706154,"AV583","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",5.3,0,"F","141","F_tg/wt","f",2.178077903,23.61102698,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Zotu18","Zotu18; Parasutterella"
"26","Zotu40; GOTU1381","D29733_66-AV604T",0.72929542645241,"AV604T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12.3,3,"I","143","I_tg/tg","m",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"27","Zotu86; Butyricicoccus","D29741_74-AV782.2TA",0.725727361882968,"AV7822TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.1,1,"M","149","M_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"28","Zotu23; LachnospiraceaeNK4A136group","D29741_74-AV782.2TA",0.706113108859104,"AV7822TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.1,1,"M","149","M_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"29","Zotu86; Butyricicoccus","D29753_86-AV866",0.686479341662047,"AV866","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"S","160","S_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"30","Zotu40; GOTU1381","D29736_69-AV782.2T",0.681099489175383,"AV7822T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12.1,1,"M","149","M_tg/tg","f",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"31","Zotu86; Butyricicoccus","D29683_16-AV816",0.657660156095242,"AV816","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"Q","159","Q_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"32","Zotu704; Escherichia-Shigella","D29738_71-AV604TA",0.616730687153222,"AV604TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.3,3,"I","143","I_tg/tg","m",NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Zotu704","Zotu704; Escherichia-Shigella"
"33","Zotu86; Butyricicoccus","D29736_69-AV782.2T",0.611165166626125,"AV7822T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12.1,1,"M","149","M_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"34","Zotu40; GOTU1381","D29741_74-AV782.2TA",0.590606952163016,"AV7822TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.1,1,"M","149","M_tg/tg","f",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
